,folder,lines
THUCNews/教育/311724.txt,教育,23.0
THUCNews/教育/320411.txt,教育,21.0
THUCNews/教育/287907.txt,教育,3.0
THUCNews/教育/296457.txt,教育,9.0
THUCNews/教育/299432.txt,教育,40.0
THUCNews/教育/322742.txt,教育,14.0
THUCNews/教育/321992.txt,教育,31.0
THUCNews/教育/324296.txt,教育,23.0
THUCNews/教育/325767.txt,教育,7.0
THUCNews/教育/317244.txt,教育,5.0
THUCNews/教育/322188.txt,教育,18.0
THUCNews/教育/309922.txt,教育,19.0
THUCNews/教育/299065.txt,教育,41.0
THUCNews/教育/290309.txt,教育,15.0
THUCNews/教育/322115.txt,教育,4.0
THUCNews/教育/292400.txt,教育,7.0
THUCNews/教育/299212.txt,教育,10.0
THUCNews/教育/286060.txt,教育,13.0
THUCNews/教育/291736.txt,教育,8.0
THUCNews/教育/312436.txt,教育,12.0
THUCNews/教育/295259.txt,教育,7.0
THUCNews/教育/294780.txt,教育,42.0
THUCNews/教育/307983.txt,教育,41.0
THUCNews/教育/312844.txt,教育,7.0
THUCNews/教育/284923.txt,教育,20.0
THUCNews/教育/304641.txt,教育,39.0
THUCNews/教育/296858.txt,教育,9.0
THUCNews/教育/284715.txt,教育,16.0
THUCNews/教育/323907.txt,教育,5.0
THUCNews/教育/295048.txt,教育,6.0
THUCNews/教育/294153.txt,教育,22.0
THUCNews/教育/309681.txt,教育,12.0
THUCNews/教育/301149.txt,教育,45.0
THUCNews/教育/293815.txt,教育,27.0
THUCNews/教育/326247.txt,教育,82.0
THUCNews/教育/317748.txt,教育,5.0
THUCNews/教育/301969.txt,教育,32.0
THUCNews/教育/296986.txt,教育,11.0
THUCNews/教育/302299.txt,教育,3.0
THUCNews/教育/294889.txt,教育,12.0
THUCNews/教育/309413.txt,教育,11.0
THUCNews/教育/319254.txt,教育,15.0
THUCNews/教育/300695.txt,教育,6.0
THUCNews/教育/289395.txt,教育,4.0
THUCNews/教育/297150.txt,教育,7.0
THUCNews/教育/296061.txt,教育,29.0
THUCNews/教育/307845.txt,教育,6.0
THUCNews/教育/313722.txt,教育,89.0
THUCNews/教育/285568.txt,教育,22.0
THUCNews/教育/290337.txt,教育,13.0
THUCNews/教育/295591.txt,教育,22.0
THUCNews/教育/300261.txt,教育,8.0
THUCNews/教育/322431.txt,教育,16.0
THUCNews/教育/305697.txt,教育,55.0
THUCNews/教育/320653.txt,教育,10.0
THUCNews/教育/304346.txt,教育,5.0
THUCNews/教育/308397.txt,教育,42.0
THUCNews/教育/320299.txt,教育,4.0
THUCNews/教育/300080.txt,教育,51.0
THUCNews/教育/321104.txt,教育,6.0
THUCNews/教育/285727.txt,教育,7.0
THUCNews/教育/293097.txt,教育,6.0
THUCNews/教育/290312.txt,教育,15.0
THUCNews/教育/302798.txt,教育,34.0
THUCNews/教育/302382.txt,教育,31.0
