path,label,xmlpath
水暖器材店失火消防官兵救出4人,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/水暖器材店失火消防官兵救出4人.xml
安康发生多起山林火灾多数为使用明火不当引发,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/安康发生多起山林火灾多数为使用明火不当引发.xml
长江大桥昨晚一桥洞失火火灾持续1个多小时,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/长江大桥昨晚一桥洞失火火灾持续1个多小时.xml
衡水一商住楼大火女主人和两岁孩子遇难,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/衡水一商住楼大火女主人和两岁孩子遇难.xml
油罐爆炸起火燃烧3小时,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/油罐爆炸起火燃烧3小时.xml
广州番禺商铺火灾：一名女子被烧死,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/广州番禺商铺火灾：一名女子被烧死.xml
福州：城门一棉花厂突发火灾烧了五小时,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/福州：城门一棉花厂突发火灾烧了五小时.xml
沙县高砂镇发生森林火灾,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/沙县高砂镇发生森林火灾.xml
武汉汉正街火灾造成至少10人受伤,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/武汉汉正街火灾造成至少10人受伤.xml
兰坪“12·2”大火基本扑灭,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/兰坪“12·2”大火基本扑灭.xml
吉尔吉斯中海市场发生火灾，无中方人员伤亡,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/吉尔吉斯中海市场发生火灾，无中方人员伤亡.xml
福建长乐一家酒吧发生特大火灾17人死亡,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/福建长乐一家酒吧发生特大火灾17人死亡.xml
合川百年小吃店起大火疑因厨师炒咸菜导致,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/合川百年小吃店起大火疑因厨师炒咸菜导致.xml
法国、西班牙和希腊等多国爆发森林大火,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/法国、西班牙和希腊等多国爆发森林大火.xml
兰州火灾事故,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/兰州火灾事故.xml
深圳市光明新区荣健农批水果市场“12·11”重大火灾事故,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/深圳市光明新区荣健农批水果市场“12·11”重大火灾事故.xml
广州市一烂尾楼发生火灾,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/广州市一烂尾楼发生火灾.xml
地中海沿岸5国大火蔓延,火灾,/home/data/toy/raw_data/CEC-Corpus/CEC/火灾/地中海沿岸5国大火蔓延.xml
